mmsi,gear,flag,length,tonnage,engine_power,year,departure_port,departure_date,departure_timestamp,arrival_port,arrival_timestamp,time_at_sea_hours,fishing_hours,distance_traveled_km,mean_daily_fishing_hours,fraction_suspicious_econ,encounters_transshipment,encounters_bunker,encounters_fishing,coverage_gaps,fishing_foreign_eez,fishing_high_seas,fishing_ntz,suspicious_econ,suspicious_fishing_hours,suspicious_time_at_sea_hours,suspicious_distance_traveled_km,suspicious_mean_daily_fishing_hours,suspicious_encounters_transshipment,suspicious_encounters_bunker,suspicious_encounters_fishing,suspicious_coverage_gaps,risk_score
567100005,other_purse_seines,THA,20.7757594595,81.3136881497,243.026118342,2014,"BANG SAPHAN,THA",2014-10-25,2014-10-25T09:32:23Z,"BANG SAPHAN,THA",2014-11-04T03:35:46Z,18.620277777777776,6.2444444444444445,24.096918028996978,6.206759259259259,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
567100005,other_purse_seines,THA,20.7757594595,81.3136881497,243.026118342,2014,"BANG SAPHAN,THA",2014-07-17,2014-07-17T04:16:52Z,"BANG SAPHAN,THA",2014-07-19T22:35:31Z,19.767916666666668,10.27638888888889,10.182873412062037,9.883958333333334,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
567100005,other_purse_seines,THA,20.7757594595,81.3136881497,243.026118342,2014,"BANG SAPHAN,THA",2014-11-04,2014-11-04T04:06:55Z,"BANG SAPHAN,THA",2015-05-21T07:19:31Z,37.882777777777775,18.781666666666663,29.223179773274055,7.576555555555557,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1
567100005,other_purse_seines,THA,20.7757594595,81.3136881497,243.026118342,2014,"BANG SAPHAN,THA",2014-07-25,2014-07-25T09:14:15Z,"BANG SAPHAN,THA",2014-08-01T01:33:13Z,38.249027777777776,13.804305555555556,44.482113628867936,9.562256944444446,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1
567100005,other_purse_seines,THA,20.7757594595,81.3136881497,243.026118342,2014,"BANG SAPHAN,THA",2014-08-20,2014-08-20T09:16:48Z,"BANG SAPHAN,THA",2014-08-29T00:20:25Z,34.54138888888889,21.51833333333333,33.52726056278357,8.635347222222222,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1
567100005,other_purse_seines,THA,20.7757594595,81.3136881497,243.026118342,2014,"BANG SAPHAN,THA",2014-10-18,2014-10-18T09:06:52Z,"BANG SAPHAN,THA",2014-10-23T01:18:21Z,0.62375,0,6.152270369664194,0.31187499999999996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
567100005,other_purse_seines,THA,20.7757594595,81.3136881497,243.026118342,2014,"BANG SAPHAN,THA",2014-08-29,2014-08-29T08:34:27Z,"BANG SAPHAN,THA",2014-09-01T21:17:29Z,38.629305555555554,0.7329166666666667,49.70025795193263,12.876435185185185,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
567100005,other_purse_seines,THA,20.7757594595,81.3136881497,243.026118342,2014,"BANG SAPHAN,THA",2014-05-26,2014-05-26T08:30:34Z,"BANG SAPHAN,THA",2014-06-01T03:53:04Z,80.65527777777783,45.197222222222265,97.72682133258594,13.442546296296298,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
567100005,other_purse_seines,THA,20.7757594595,81.3136881497,243.026118342,2014,"BANG SAPHAN,THA",2014-09-20,2014-09-20T04:22:13Z,"BANG SAPHAN,THA",2014-09-23T21:27:31Z,1.360277777777778,0,13.369177035930425,0.680138888888889,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
567100005,other_purse_seines,THA,20.7757594595,81.3136881497,243.026118342,2014,"BANG SAPHAN,THA",2014-05-25,2014-05-25T08:01:01Z,"BANG SAPHAN,THA",2014-05-25T20:25:11Z,12.175555555555555,5.946250000000001,28.454941191031683,12.175555555555555,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
567100005,other_purse_seines,THA,20.7757594595,81.3136881497,243.026118342,2014,"BANG SAPHAN,THA",2014-10-23,2014-10-23T05:59:46Z,"BANG SAPHAN,THA",2014-10-25T04:01:57Z,36.24791666666666,17.49263888888889,54.94014666693359,18.123958333333334,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
567100005,other_purse_seines,THA,20.7757594595,81.3136881497,243.026118342,2014,"BANG SAPHAN,THA",2014-05-23,2014-05-23T09:51:59Z,"BANG SAPHAN,THA",2014-05-24T22:58:52Z,36.746666666666655,5.626111111111111,50.390510849932134,18.373333333333335,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
567100005,other_purse_seines,THA,20.7757594595,81.3136881497,243.026118342,2014,"BANG SAPHAN,THA",2014-09-27,2014-09-27T09:15:34Z,"BANG SAPHAN,THA",2014-09-28T02:36:52Z,17.111805555555556,3.742083333333333,33.083943723365444,8.555902777777778,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
567100005,other_purse_seines,THA,20.7757594595,81.3136881497,243.026118342,2014,"BANG SAPHAN,THA",2014-08-01,2014-08-01T09:28:18Z,"BANG SAPHAN,THA",2014-08-20T01:30:25Z,0.45222222222222225,0,3.9588801487518577,0.45222222222222225,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
567100005,other_purse_seines,THA,20.7757594595,81.3136881497,243.026118342,2014,"BANG SAPHAN,THA",2014-07-23,2014-07-23T21:35:55Z,"BANG SAPHAN,THA",2014-07-23T22:11:30Z,0.2965277777777778,0,3.9142775887721806,0.2965277777777778,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
567100005,other_purse_seines,THA,20.7757594595,81.3136881497,243.026118342,2014,"BANG SAPHAN,THA",2014-06-08,2014-06-08T10:12:04Z,"BANG SAPHAN,THA",2014-06-08T22:05:02Z,11.678055555555554,7.087916666666667,33.979526274335825,11.678055555555554,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
567100005,other_purse_seines,THA,20.7757594595,81.3136881497,243.026118342,2014,"BANG SAPHAN,THA",2014-06-28,2014-06-28T08:21:52Z,"BANG SAPHAN,THA",2014-06-30T04:05:27Z,43.27013888888888,10.913611111111114,54.10958255342323,14.423379629629625,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
567100005,other_purse_seines,THA,20.7757594595,81.3136881497,243.026118342,2014,"BANG SAPHAN,THA",2014-09-02,2014-09-02T08:38:55Z,"BANG SAPHAN,THA",2014-09-02T22:44:53Z,13.882083333333334,13.22527777777778,23.961293363956454,13.882083333333334,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
567100005,other_purse_seines,THA,20.7757594595,81.3136881497,243.026118342,2014,"BANG SAPHAN,THA",2014-07-06,2014-07-06T05:28:17Z,"BANG SAPHAN,THA",2014-07-07T00:10:39Z,18.40222222222222,8.67736111111111,31.55069617108883,18.40222222222222,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
567100005,other_purse_seines,THA,20.7757594595,81.3136881497,243.026118342,2014,"BANG SAPHAN,THA",2014-09-03,2014-09-03T09:37:30Z,"BANG SAPHAN,THA",2014-09-03T22:22:49Z,12.618611111111116,8.464305555555555,63.9358438301537,12.618611111111116,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
567100005,other_purse_seines,THA,20.7757594595,81.3136881497,243.026118342,2014,"BANG SAPHAN,THA",2014-09-04,2014-09-04T10:21:41Z,"BANG SAPHAN,THA",2014-09-04T21:14:27Z,10.654027777777777,3.982916666666666,40.37827694491746,10.654027777777777,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
567100005,other_purse_seines,THA,20.7757594595,81.3136881497,243.026118342,2014,"BANG SAPHAN,THA",2014-05-21,2014-05-21T07:47:38Z,"BANG SAPHAN,THA",2014-05-22T21:29:15Z,37.39527777777778,2.577361111111111,93.56206601565076,18.69763888888889,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
567100005,other_purse_seines,THA,20.7757594595,81.3136881497,243.026118342,2014,"BANG SAPHAN,THA",2014-07-15,2014-07-15T09:33:01Z,"BANG SAPHAN,THA",2014-07-16T00:21:01Z,14.533194444444442,0,15.38569014986332,7.266597222222222,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
567100005,other_purse_seines,THA,20.7757594595,81.3136881497,243.026118342,2014,"BANG SAPHAN,THA",2014-09-30,2014-09-30T06:32:17Z,"BANG SAPHAN,THA",2014-10-06T00:59:07Z,3.103611111111111,1.5658333333333334,18.709392698780302,1.5518055555555554,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
567100005,other_purse_seines,THA,20.7757594595,81.3136881497,243.026118342,2014,"BANG SAPHAN,THA",2014-09-24,2014-09-24T06:29:02Z,"BANG SAPHAN,THA",2014-09-26T21:27:29Z,62.79000000000002,53.79916666666668,79.99831013393916,20.929999999999996,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
567100005,other_purse_seines,THA,20.7757594595,81.3136881497,243.026118342,2014,"BANG SAPHAN,THA",2014-07-07,2014-07-07T11:03:10Z,"BANG SAPHAN,THA",2014-07-07T19:53:58Z,8.473333333333333,5.414722222222221,7.320787744159967,8.473333333333333,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
